pole_tekstowe,Textbox_PARAMETRY
Higher education. Students in higher education institutions.,"Year: 2009, 2010, 2011, 2012, 2013, 2014, 2015
Territorial unit: Poland, Dolnoslaskie, Kujawsko-pomorskie, Lubelskie, Lubuskie, Lodzkie, Malopolskie, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-mazurskie, Wielkopolskie, Zachodniopomorskie
Type of school: Technical universities
Type of property: Public, Non-public
Form of studies: Full-time programmes
Citizenship: Total excluding foreigners, Foreigners
Sex: Females"

Textbox28,Textbox76,Textbox78,Textbox82
Table,Chart,Map,Metadata

Textbox20,NAZWA_TERYT1,KOD_ROKU1,WARTOSC1
Specification,POLSKA,2009,76971
Specification,POLSKA,2010,82328
Specification,POLSKA,2011,93634
Specification,POLSKA,2012,100593
Specification,POLSKA,2013,99849
Specification,POLSKA,2014,98078
Specification,POLSKA,2015,93076
Specification,DOLNOSLASKIE,2009,8011
Specification,DOLNOSLASKIE,2010,8375
Specification,DOLNOSLASKIE,2011,9007
Specification,DOLNOSLASKIE,2012,10311
Specification,DOLNOSLASKIE,2013,10277
Specification,DOLNOSLASKIE,2014,10239
Specification,DOLNOSLASKIE,2015,10100
Specification,KUJAWSKO-POMORSKIE,2009,31
Specification,KUJAWSKO-POMORSKIE,2010,17
Specification,KUJAWSKO-POMORSKIE,2011,9
Specification,KUJAWSKO-POMORSKIE,2012,8
Specification,KUJAWSKO-POMORSKIE,2013,0
Specification,KUJAWSKO-POMORSKIE,2014,
Specification,KUJAWSKO-POMORSKIE,2015,
Specification,LUBELSKIE,2009,1815
Specification,LUBELSKIE,2010,1984
Specification,LUBELSKIE,2011,2300
Specification,LUBELSKIE,2012,2623
Specification,LUBELSKIE,2013,2558
Specification,LUBELSKIE,2014,2591
Specification,LUBELSKIE,2015,2540
Specification,LODZKIE,2009,6206
Specification,LODZKIE,2010,6306
Specification,LODZKIE,2011,6651
Specification,LODZKIE,2012,7134
Specification,LODZKIE,2013,7006
Specification,LODZKIE,2014,7038
Specification,LODZKIE,2015,6574
Specification,MALOPOLSKIE,2009,11442
Specification,MALOPOLSKIE,2010,12643
Specification,MALOPOLSKIE,2011,13974
Specification,MALOPOLSKIE,2012,15454
Specification,MALOPOLSKIE,2013,15631
Specification,MALOPOLSKIE,2014,15741
Specification,MALOPOLSKIE,2015,14877
Specification,MAZOWIECKIE,2009,10161
Specification,MAZOWIECKIE,2010,11102
Specification,MAZOWIECKIE,2011,11983
Specification,MAZOWIECKIE,2012,12974
Specification,MAZOWIECKIE,2013,13470
Specification,MAZOWIECKIE,2014,13674
Specification,MAZOWIECKIE,2015,13449
Specification,OPOLSKIE,2009,2873
Specification,OPOLSKIE,2010,2868
Specification,OPOLSKIE,2011,2993
Specification,OPOLSKIE,2012,3126
Specification,OPOLSKIE,2013,3054
Specification,OPOLSKIE,2014,2773
Specification,OPOLSKIE,2015,2369
Specification,PODKARPACKIE,2009,4411
Specification,PODKARPACKIE,2010,5015
Specification,PODKARPACKIE,2011,5363
Specification,PODKARPACKIE,2012,5558
Specification,PODKARPACKIE,2013,5371
Specification,PODKARPACKIE,2014,5415
Specification,PODKARPACKIE,2015,5570
Specification,PODLASKIE,2009,3987
Specification,PODLASKIE,2010,4230
Specification,PODLASKIE,2011,4337
Specification,PODLASKIE,2012,4303
Specification,PODLASKIE,2013,4079
Specification,PODLASKIE,2014,3767
Specification,PODLASKIE,2015,3562
Specification,POMORSKIE,2009,6961
Specification,POMORSKIE,2010,7580
Specification,POMORSKIE,2011,8305
Specification,POMORSKIE,2012,8992
Specification,POMORSKIE,2013,9086
Specification,POMORSKIE,2014,8783
Specification,POMORSKIE,2015,8409
Specification,SLASKIE,2009,12825
Specification,SLASKIE,2010,13132
Specification,SLASKIE,2011,13817
Specification,SLASKIE,2012,14267
Specification,SLASKIE,2013,13655
Specification,SLASKIE,2014,12917
Specification,SLASKIE,2015,11637
Specification,SWIETOKRZYSKIE,2009,1751
Specification,SWIETOKRZYSKIE,2010,2071
Specification,SWIETOKRZYSKIE,2011,2552
Specification,SWIETOKRZYSKIE,2012,2884
Specification,SWIETOKRZYSKIE,2013,2881
Specification,SWIETOKRZYSKIE,2014,2889
Specification,SWIETOKRZYSKIE,2015,2596
Specification,WIELKOPOLSKIE,2009,3411
Specification,WIELKOPOLSKIE,2010,3911
Specification,WIELKOPOLSKIE,2011,4547
Specification,WIELKOPOLSKIE,2012,4958
Specification,WIELKOPOLSKIE,2013,5121
Specification,WIELKOPOLSKIE,2014,5188
Specification,WIELKOPOLSKIE,2015,5143
Specification,ZACHODNIOPOMORSKIE,2009,3086
Specification,ZACHODNIOPOMORSKIE,2010,3094
Specification,ZACHODNIOPOMORSKIE,2011,7796
Specification,ZACHODNIOPOMORSKIE,2012,8001
Specification,ZACHODNIOPOMORSKIE,2013,7660
Specification,ZACHODNIOPOMORSKIE,2014,7063
Specification,ZACHODNIOPOMORSKIE,2015,6250

